WorkClass;Occupation;Education;Sexe;Race;Age;Relationship;Marital_satus;Native_Country;Hours_per_week;Salary
 Private; Adm-clerical; HS-grad; Male; White;69; Unmarried; Widowed; United-States;8; <=50K
 Private; Sales; HS-grad; Female; White;35; Not-in-family; Divorced; United-States;50; <=50K
 Private; Adm-clerical; HS-grad; Male; White;41; Own-child; Never-married; United-States;40; <=50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;60; Husband; Married-civ-spouse; United-States;42; >50K
 Private; Craft-repair; HS-grad; Male; White;32; Own-child; Never-married; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Female; White;48; Unmarried; Divorced; United-States;52; <=50K
 Private; Handlers-cleaners; 9th; Male; White;19; Own-child; Never-married; United-States;25; <=50K
 State-gov; Prof-specialty; Bachelors; Male; White;41; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Male; White;50; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Machine-op-inspct; 11th; Male; White;29; Own-child; Never-married; United-States;48; <=50K
 Self-emp-not-inc; Exec-managerial; Some-college; Male; White;45; Husband; Married-civ-spouse; United-States;80; <=50K
 Private; Sales; Bachelors; Male; White;24; Not-in-family; Never-married; United-States;50; <=50K
 Private; Other-service; Some-college; Female; White;19; Own-child; Never-married; United-States;20; <=50K
 Private; Craft-repair; Assoc-voc; Male; White;36; Not-in-family; Divorced; United-States;38; <=50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;48; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-not-inc; Sales; Bachelors; Male; White;66; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Prof-specialty; Masters; Male; Asian-Pac-Islander;51; Husband; Married-civ-spouse; India;40; <=50K
 Private; Sales; Bachelors; Male; White;32; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; Some-college; Female; White;54; Unmarried; Divorced; United-States;48; <=50K
 Private; Farming-fishing; 5th-6th; Male; Asian-Pac-Islander;33; Husband; Married-civ-spouse; Philippines;40; <=50K
 Private; Adm-clerical; Some-college; Male; White;21; Own-child; Never-married; United-States;40; <=50K
 Self-emp-inc; Sales; Bachelors; Male; White;47; Husband; Married-civ-spouse; United-States;60; >50K
 Federal-gov; Prof-specialty; Prof-school; Male; White;44; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Male; White;58; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Prof-specialty; Bachelors; Male; White;37; Husband; Married-civ-spouse; United-States;99; >50K
 Private; Adm-clerical; HS-grad; Male; White;59; Not-in-family; Never-married; Guatemala;50; <=50K
 Private; Sales; HS-grad; Female; White;45; Own-child; Never-married; United-States;19; <=50K
 Private; Sales; HS-grad; Female; White;34; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;29; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; Some-college; Male; White;24; Unmarried; Never-married; United-States;50; <=50K
 Private; Exec-managerial; Doctorate; Male; White;45; Unmarried; Separated; United-States;40; >50K
 Private; Machine-op-inspct; HS-grad; Male; White;38; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Exec-managerial; Assoc-voc; Male; White;27; Own-child; Never-married; United-States;40; <=50K
 Self-emp-not-inc; Transport-moving; Bachelors; Male; White;54; Not-in-family; Divorced; United-States;65; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;39; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Exec-managerial; Some-college; Female; White;28; Not-in-family; Divorced; United-States;40; <=50K
 Local-gov; Adm-clerical; Some-college; Male; White;37; Husband; Married-civ-spouse; Canada;40; >50K
 Private; Other-service; HS-grad; Female; White;25; Unmarried; Never-married; United-States;22; <=50K
 Private; Sales; HS-grad; Female; Black;40; Unmarried; Separated; United-States;25; <=50K
 Private; Transport-moving; HS-grad; Male; White;48; Not-in-family; Divorced; United-States;44; <=50K
 Self-emp-not-inc; Other-service; Some-college; Male; White;57; Husband; Married-civ-spouse; United-States;48; <=50K
 Private; Sales; Some-college; Female; White;60; Not-in-family; Widowed; United-States;15; <=50K
 Private; Prof-specialty; Assoc-voc; Male; White;42; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Machine-op-inspct; HS-grad; Female; Black;19; Own-child; Never-married; United-States;20; <=50K
 State-gov; Protective-serv; HS-grad; Male; White;35; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Handlers-cleaners; HS-grad; Male; White;64; Husband; Married-civ-spouse; United-States;18; <=50K
 Local-gov; Prof-specialty; Masters; Male; White;53; Husband; Married-civ-spouse; United-States;55; >50K
 Private; Prof-specialty; Prof-school; Male; White;46; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Tech-support; Some-college; Female; White;27; Not-in-family; Never-married; United-States;30; <=50K
 Private; Exec-managerial; Some-college; Male; White;33; Husband; Married-civ-spouse; United-States;56; >50K
 Private; Transport-moving; HS-grad; Male; White;26; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Tech-support; Assoc-voc; Male; White;24; Not-in-family; Never-married; United-States;45; <=50K
 Private; Sales; Some-college; Male; White;44; Unmarried; Divorced; United-States;55; >50K
 Private; Craft-repair; Some-college; Male; White;40; Husband; Married-civ-spouse; United-States;45; >50K
 State-gov; Other-service; HS-grad; Male; Black;46; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Handlers-cleaners; HS-grad; Male; Amer-Indian-Eskimo;29; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;19; Not-in-family; Never-married; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;40; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; Some-college; Male; White;60; Husband; Married-civ-spouse; United-States;65; <=50K
 Private; Craft-repair; HS-grad; Male; White;30; Not-in-family; Separated; United-States;40; <=50K
 Private; Adm-clerical; Some-college; Male; White;19; Own-child; Never-married; Thailand;10; <=50K
 Private; Exec-managerial; HS-grad; Male; White;41; Not-in-family; Divorced; United-States;40; <=50K
 Private; Transport-moving; HS-grad; Male; White;31; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Sales; Assoc-acdm; Female; White;36; Wife; Married-civ-spouse; United-States;40; <=50K
 State-gov; Transport-moving; HS-grad; Male; White;32; Own-child; Never-married; United-States;40; <=50K
 Local-gov; Adm-clerical; Bachelors; Male; White;33; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Handlers-cleaners; Some-college; Male; White;29; Not-in-family; Never-married; United-States;35; <=50K
 Private; Other-service; Some-college; Female; White;23; Not-in-family; Never-married; United-States;28; <=50K
 Private; Tech-support; Assoc-voc; Male; White;39; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-inc; Prof-specialty; Masters; Female; White;39; Not-in-family; Never-married; United-States;40; <=50K
 Private; Sales; 9th; Male; Black;57; Husband; Married-civ-spouse; United-States;55; >50K
 Private; Craft-repair; Assoc-voc; Male; White;61; Husband; Married-civ-spouse; United-States;60; >50K
 Private; Sales; Bachelors; Male; White;27; Not-in-family; Never-married; United-States;45; <=50K
 Private; Adm-clerical; HS-grad; Female; White;18; Own-child; Never-married; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Female; White;52; Unmarried; Divorced; United-States;38; <=50K
 Self-emp-inc; Exec-managerial; Masters; Male; White;47; Husband; Married-civ-spouse; United-States;55; >50K
 Local-gov; Exec-managerial; Masters; Male; White;71; Not-in-family; Widowed; United-States;20; <=50K
 Local-gov; Protective-serv; Some-college; Male; White;34; Not-in-family; Never-married; United-States;50; >50K
 Private; Transport-moving; HS-grad; Male; Black;20; Other-relative; Never-married; United-States;45; <=50K
 State-gov; Prof-specialty; Bachelors; Female; White;23; Own-child; Never-married; United-States;27; <=50K
 Self-emp-not-inc; Sales; Bachelors; Male; White;50; Not-in-family; Divorced; United-States;50; <=50K
 Self-emp-not-inc; Exec-managerial; Bachelors; Male; White;49; Husband; Married-civ-spouse; Scotland;60; >50K
 Private; Adm-clerical; Some-college; Female; White;27; Unmarried; Widowed; United-States;40; <=50K
 Private; Prof-specialty; Assoc-acdm; Male; White;37; Unmarried; Divorced; United-States;25; <=50K
 Private; Adm-clerical; HS-grad; Male; White;48; Husband; Married-civ-spouse; United-States;45; >50K
 Self-emp-inc; Farming-fishing; HS-grad; Female; White;18; Own-child; Never-married; United-States;8; <=50K
 Private; Other-service; 5th-6th; Female; Black;54; Unmarried; Married-spouse-absent; Haiti;30; <=50K
 Private; Craft-repair; Some-college; Female; White;39; Unmarried; Never-married; United-States;40; <=50K
 Private; Prof-specialty; Masters; Male; Asian-Pac-Islander;42; Husband; Married-civ-spouse; India;55; >50K
 Federal-gov; Adm-clerical; HS-grad; Male; White;48; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Machine-op-inspct; HS-grad; Male; White;20; Own-child; Never-married; United-States;40; <=50K
 Local-gov; Protective-serv; Assoc-acdm; Male; White;47; Husband; Married-civ-spouse; United-States;40; >50K
 Self-emp-inc; Exec-managerial; HS-grad; Male; White;57; Husband; Married-civ-spouse; United-States;60; >50K
 Local-gov; Other-service; HS-grad; Male; Black;28; Own-child; Never-married; United-States;30; <=50K
 Private; Other-service; Some-college; Male; White;23; Not-in-family; Never-married; United-States;25; <=50K
 Private; Tech-support; Assoc-voc; Female; White;43; Wife; Married-civ-spouse; United-States;32; >50K
 Private; Sales; Bachelors; Female; White;54; Not-in-family; Divorced; United-States;38; <=50K
 Private; Other-service; Some-college; Female; White;44; Not-in-family; Never-married; United-States;40; <=50K
 Private; Tech-support; Bachelors; Female; White;62; Unmarried; Widowed; United-States;7; <=50K
 Private; Sales; HS-grad; Male; White;26; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Transport-moving; HS-grad; Male; White;60; Husband; Married-civ-spouse; United-States;28; <=50K
 Private; Sales; Some-college; Male; White;44; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Farming-fishing; HS-grad; Male; White;19; Other-relative; Never-married; United-States;35; <=50K
 Private; Machine-op-inspct; 7th-8th; Male; White;59; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Transport-moving; Some-college; Male; White;41; Husband; Married-civ-spouse; United-States;48; >50K
 Private; Handlers-cleaners; HS-grad; Male; White;33; Not-in-family; Never-married; United-States;40; <=50K
 Private; Exec-managerial; Masters; Male; White;27; Husband; Married-civ-spouse; United-States;45; >50K
 Local-gov; Prof-specialty; Masters; Female; White;36; Wife; Married-civ-spouse; United-States;60; >50K
 Private; Machine-op-inspct; Assoc-acdm; Male; White;66; Husband; Married-civ-spouse; Yugoslavia;40; >50K
 Private; Other-service; Some-college; Male; White;20; Own-child; Never-married; United-States;20; <=50K
 Local-gov; Prof-specialty; Masters; Male; White;29; Other-relative; Married-civ-spouse; United-States;35; <=50K
 Private; Prof-specialty; HS-grad; Female; White;51; Not-in-family; Divorced; United-States;43; <=50K
 Self-emp-inc; Exec-managerial; Some-college; Male; White;57; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Farming-fishing; Some-college; Male; White;54; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Sales; Some-college; Male; White;36; Husband; Married-civ-spouse; United-States;44; <=50K
 Private; Other-service; Masters; Female; White;67; Not-in-family; Never-married; United-States;40; <=50K
 Private; Sales; Bachelors; Male; White;38; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Prof-specialty; Doctorate; Female; White;53; Wife; Married-civ-spouse; United-States;37; >50K
 Private; Adm-clerical; Prof-school; Male; White;27; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-inc; Machine-op-inspct; HS-grad; Male; White;47; Husband; Married-civ-spouse; United-States;48; <=50K
 Private; Other-service; 7th-8th; Female; White;34; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Machine-op-inspct; 11th; Female; White;35; Unmarried; Divorced; United-States;40; <=50K
 Private; Machine-op-inspct; 11th; Female; White;50; Other-relative; Never-married; United-States;40; <=50K
 Private; Transport-moving; Some-college; Male; White;32; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Adm-clerical; Some-college; Female; White;41; Wife; Married-civ-spouse; United-States;40; >50K
 Private; Craft-repair; HS-grad; Female; White;48; Unmarried; Divorced; United-States;40; <=50K
 Private; Transport-moving; 1st-4th; Male; White;53; Husband; Married-civ-spouse; United-States;50; <=50K
 Private; Craft-repair; HS-grad; Male; White;46; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; Black;54; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Other-service; Some-college; Male; White;20; Own-child; Never-married; United-States;20; <=50K
 Private; Handlers-cleaners; HS-grad; Male; White;51; Husband; Married-civ-spouse; United-States;48; <=50K
 Federal-gov; Adm-clerical; HS-grad; Female; White;41; Not-in-family; Never-married; United-States;40; <=50K
 Federal-gov; Prof-specialty; Bachelors; Male; White;47; Not-in-family; Divorced; United-States;40; <=50K
 Self-emp-inc; Prof-specialty; Prof-school; Male; White;60; Husband; Married-civ-spouse; United-States;80; >50K
 Self-emp-not-inc; Craft-repair; HS-grad; Male; White;51; Husband; Married-civ-spouse; United-States;48; >50K
 Local-gov; Other-service; 1st-4th; Male; White;61; Husband; Married-civ-spouse; Mexico;40; <=50K
 Federal-gov; Adm-clerical; Some-college; Female; White;55; Wife; Married-civ-spouse; United-States;40; >50K
 Private; Sales; Some-college; Female; White;20; Not-in-family; Never-married; United-States;25; <=50K
 State-gov; Transport-moving; Assoc-acdm; Male; White;47; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Machine-op-inspct; 7th-8th; Male; White;48; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Other-service; Some-college; Female; White;19; Own-child; Divorced; United-States;40; <=50K
 Private; Tech-support; Assoc-voc; Female; Black;34; Unmarried; Divorced; United-States;40; <=50K
 Self-emp-not-inc; Other-service; HS-grad; Male; White;37; Husband; Married-civ-spouse; United-States;42; <=50K
 Private; Handlers-cleaners; HS-grad; Female; White;20; Own-child; Never-married; United-States;40; <=50K
 Private; Adm-clerical; Assoc-acdm; Male; White;36; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Some-college; Female; White;42; Not-in-family; Divorced; United-States;50; <=50K
 Private; Prof-specialty; Bachelors; Male; White;39; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Exec-managerial; 11th; Female; White;18; Own-child; Never-married; United-States;20; <=50K
 Private; Adm-clerical; Bachelors; Male; White;46; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Tech-support; Bachelors; Male; Asian-Pac-Islander;37; Not-in-family; Separated; Philippines;40; <=50K
 State-gov; Other-service; HS-grad; Female; Black;46; Not-in-family; Never-married; United-States;40; <=50K
 Private; Handlers-cleaners; 12th; Male; White;17; Own-child; Never-married; United-States;20; <=50K
 Private; Sales; Some-college; Male; White;36; Husband; Married-civ-spouse; United-States;45; <=50K
 Self-emp-inc; Other-service; HS-grad; Male; White;49; Not-in-family; Separated; United-States;45; <=50K
 Self-emp-not-inc; Machine-op-inspct; Bachelors; Male; White;32; Husband; Married-civ-spouse; United-States;70; >50K
 Private; Machine-op-inspct; HS-grad; Male; White;41; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Handlers-cleaners; Some-college; Male; White;20; Not-in-family; Never-married; United-States;30; <=50K
 Federal-gov; Exec-managerial; Masters; Male; White;41; Husband; Married-civ-spouse; United-States;60; >50K
 Local-gov; Protective-serv; Some-college; Male; White;24; Not-in-family; Never-married; United-States;40; <=50K
 Private; Transport-moving; HS-grad; Male; White;33; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Prof-specialty; Bachelors; Female; White;39; Unmarried; Widowed; Poland;50; >50K
 Private; Craft-repair; HS-grad; Male; White;38; Husband; Married-civ-spouse; United-States;50; >50K
 Self-emp-not-inc; Prof-specialty; Doctorate; Male; White;36; Not-in-family; Never-married; United-States;40; >50K
 Private; Exec-managerial; Bachelors; Male; White;30; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Transport-moving; HS-grad; Male; Black;46; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; 11th; Female; White;17; Other-relative; Never-married; United-States;10; <=50K
 Private; Craft-repair; Some-college; Male; White;44; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Other-service; 11th; Female; White;22; Own-child; Never-married; United-States;30; <=50K
 Private; Craft-repair; Some-college; Male; White;29; Own-child; Never-married; United-States;40; <=50K
 Private; Sales; Some-college; Female; Black;19; Own-child; Never-married; United-States;20; <=50K
 Self-emp-inc; Exec-managerial; Bachelors; Male; White;71; Husband; Married-civ-spouse; United-States;60; >50K
 Private; Exec-managerial; Bachelors; Male; White;36; Husband; Married-civ-spouse; United-States;50; >50K
 Self-emp-not-inc; Sales; HS-grad; Male; White;45; Husband; Married-civ-spouse; United-States;80; >50K
 Private; Adm-clerical; HS-grad; Male; Black;28; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;20; Not-in-family; Never-married; United-States;35; <=50K
 Private; Farming-fishing; HS-grad; Male; White;29; Unmarried; Never-married; United-States;35; <=50K
 Private; Craft-repair; Assoc-acdm; Male; White;36; Husband; Married-civ-spouse; United-States;52; >50K
 Self-emp-not-inc; Prof-specialty; Doctorate; Male; White;50; Husband; Married-civ-spouse; United-States;60; >50K
 Private; Priv-house-serv; HS-grad; Female; Black;45; Unmarried; Never-married; United-States;30; <=50K
 Private; Sales; HS-grad; Female; White;58; Other-relative; Divorced; United-States;32; <=50K
 Private; Machine-op-inspct; HS-grad; Male; White;21; Other-relative; Separated; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Male; White;40; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Farming-fishing; 7th-8th; Male; White;36; Husband; Married-civ-spouse; Mexico;35; <=50K
 Self-emp-not-inc; Sales; Some-college; Male; White;45; Not-in-family; Never-married; United-States;55; <=50K
 Private; Other-service; HS-grad; Male; White;20; Unmarried; Never-married; United-States;40; <=50K
 Private; Transport-moving; 5th-6th; Male; Other;33; Unmarried; Married-spouse-absent; El-Salvador;20; <=50K
 Private; Exec-managerial; Some-college; Female; White;23; Not-in-family; Never-married; United-States;40; <=50K
 Private; Craft-repair; HS-grad; Male; White;35; Not-in-family; Divorced; United-States;40; <=50K
 Private; Exec-managerial; Bachelors; Female; White;25; Not-in-family; Widowed; United-States;40; <=50K
 Private; Other-service; Some-college; Female; White;20; Own-child; Never-married; United-States;20; <=50K
 Private; Craft-repair; HS-grad; Male; White;20; Not-in-family; Never-married; United-States;40; <=50K
 Private; Priv-house-serv; Some-college; Female; White;28; Not-in-family; Never-married; United-States;40; <=50K
 Private; Adm-clerical; Bachelors; Male; Asian-Pac-Islander;41; Husband; Married-civ-spouse; Philippines;35; >50K
 Private; Machine-op-inspct; 5th-6th; Female; White;22; Other-relative; Married-civ-spouse; Mexico;40; <=50K
 Local-gov; Transport-moving; Some-college; Male; Black;52; Husband; Married-civ-spouse; United-States;40; <=50K
 Private; Prof-specialty; Bachelors; Female; White;53; Not-in-family; Never-married; Mexico;45; <=50K
 Private; Exec-managerial; Masters; Male; White;43; Husband; Married-civ-spouse; United-States;45; >50K
 Private; Tech-support; Masters; Male; White;54; Not-in-family; Divorced; United-States;40; >50K
 State-gov; Prof-specialty; Bachelors; Female; Black;33; Other-relative; Never-married; United-States;40; <=50K
 Private; Machine-op-inspct; 11th; Male; White;23; Husband; Married-civ-spouse; Puerto-Rico;40; <=50K
 Private; Craft-repair; 11th; Male; Asian-Pac-Islander;32; Not-in-family; Never-married; India;40; <=50K
 Private; Transport-moving; Some-college; Male; White;53; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Priv-house-serv; 1st-4th; Female; White;28; Not-in-family; Never-married; Mexico;40; <=50K
 State-gov; Adm-clerical; Some-college; Male; White;49; Own-child; Divorced; United-States;40; <=50K
 Private; Prof-specialty; Assoc-acdm; Female; White;32; Unmarried; Divorced; United-States;36; <=50K
 Self-emp-not-inc; Other-service; HS-grad; Female; White;36; Unmarried; Separated; United-States;40; <=50K
 Private; Adm-clerical; Bachelors; Female; White;36; Not-in-family; Never-married; Columbia;32; <=50K
 Private; Adm-clerical; 12th; Female; Black;47; Other-relative; Never-married; United-States;40; <=50K
 Private; Tech-support; Assoc-voc; Female; White;30; Other-relative; Married-civ-spouse; Canada;40; >50K
 Private; Other-service; Assoc-voc; Male; White;60; Not-in-family; Divorced; United-States;20; <=50K
 Private; Sales; HS-grad; Female; White;32; Wife; Married-civ-spouse; United-States;40; <=50K
 Private; Adm-clerical; HS-grad; Female; White;42; Wife; Married-civ-spouse; United-States;40; <=50K
 Local-gov; Adm-clerical; Some-college; Female; White;23; Unmarried; Divorced; United-States;70; <=50K
 Private; Sales; Bachelors; Male; White;23; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-not-inc; Other-service; Assoc-acdm; Male; White;57; Husband; Married-civ-spouse; Iran;40; <=50K
 State-gov; Prof-specialty; Bachelors; Female; White;23; Not-in-family; Never-married; United-States;40; <=50K
 Self-emp-not-inc; Prof-specialty; Bachelors; Male; White;56; Not-in-family; Never-married; United-States;20; <=50K
 Private; Sales; 5th-6th; Female; Asian-Pac-Islander;27; Own-child; Never-married; Vietnam;20; <=50K
 Private; Adm-clerical; Bachelors; Female; White;38; Not-in-family; Never-married; United-States;50; <=50K
 Private; Sales; 11th; Female; White;22; Not-in-family; Never-married; United-States;40; <=50K
 Private; Sales; HS-grad; Female; White;65; Not-in-family; Divorced; United-States;20; <=50K
 Self-emp-not-inc; Farming-fishing; Some-college; Female; White;69; Not-in-family; Widowed; United-States;14; <=50K
 Local-gov; Handlers-cleaners; 11th; Male; White;49; Unmarried; Divorced; United-States;40; <=50K
 Self-emp-inc; Exec-managerial; Bachelors; Male; White;48; Husband; Married-civ-spouse; United-States;40; >50K
 Federal-gov; Handlers-cleaners; Some-college; Male; White;53; Not-in-family; Divorced; United-States;40; <=50K
 Private; Tech-support; Assoc-voc; Male; White;59; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; HS-grad; Male; White;42; Husband; Married-civ-spouse; United-States;48; <=50K
 Private; Craft-repair; HS-grad; Male; White;32; Husband; Married-civ-spouse; United-States;50; <=50K
 State-gov; Craft-repair; HS-grad; Male; White;29; Husband; Married-civ-spouse; United-States;40; >50K
 Private; Sales; Bachelors; Male; White;35; Not-in-family; Never-married; United-States;40; >50K
 Private; Sales; Assoc-acdm; Male; White;27; Not-in-family; Never-married; United-States;42; <=50K
 Private; Prof-specialty; HS-grad; Female; White;51; Unmarried; Widowed; United-States;40; <=50K
 Private; Sales; 11th; Female; White;18; Own-child; Never-married; United-States;15; <=50K
 Federal-gov; Handlers-cleaners; Some-college; Male; White;39; Husband; Married-civ-spouse; United-States;60; >50K
 Private; Transport-moving; HS-grad; Male; White;34; Husband; Married-civ-spouse; United-States;40; <=50K
 Self-emp-not-inc; Exec-managerial; 11th; Male; White;80; Husband; Married-civ-spouse; United-States;25; <=50K
 Private; Sales; Bachelors; Female; Black;31; Own-child; Separated; United-States;40; <=50K
 Self-emp-inc; Sales; Masters; Male; White;46; Not-in-family; Divorced; United-States;60; >50K
 State-gov; Prof-specialty; Some-college; Male; White;21; Own-child; Never-married; United-States;20; <=50K
 Local-gov; Craft-repair; Some-college; Male; White;34; Not-in-family; Never-married; United-States;40; <=50K
 Federal-gov; Prof-specialty; Bachelors; Female; White;46; Unmarried; Divorced; United-States;50; >50K
 Private; Machine-op-inspct; HS-grad; Female; White;57; Not-in-family; Divorced; United-States;40; >50K
 Self-emp-not-inc; Sales; Masters; Male; White;48; Husband; Married-civ-spouse; England;50; <=50K
 Private; Prof-specialty; Assoc-voc; Male; White;34; Husband; Married-civ-spouse; United-States;50; >50K
 Self-emp-inc; Exec-managerial; Some-college; Male; White;44; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Machine-op-inspct; HS-grad; Male; White;46; Husband; Married-civ-spouse; United-States;50; >50K
 Self-emp-not-inc; Exec-managerial; Bachelors; Female; White;31; Wife; Married-civ-spouse; United-States;40; >50K
 Private; Exec-managerial; Assoc-voc; Female; Black;39; Unmarried; Divorced; United-States;40; <=50K
 Private; Prof-specialty; Doctorate; Male; Asian-Pac-Islander;48; Husband; Married-civ-spouse; India;40; >50K
 Private; Craft-repair; Bachelors; Male; White;41; Husband; Married-civ-spouse; United-States;55; >50K
 Local-gov; Adm-clerical; HS-grad; Female; White;62; Not-in-family; Widowed; United-States;38; <=50K
 Private; Exec-managerial; Bachelors; Female; White;53; Unmarried; Never-married; United-States;40; <=50K
 Private; Prof-specialty; Masters; Female; White;25; Own-child; Never-married; United-States;40; >50K
 Private; Craft-repair; Assoc-voc; Male; White;21; Unmarried; Never-married; United-States;40; <=50K
 Private; Craft-repair; Assoc-voc; Male; White;43; Husband; Married-civ-spouse; United-States;50; >50K
 Private; Exec-managerial; 11th; Male; White;18; Own-child; Never-married; United-States;20; <=50K
